Hora,Temperatura (C),Temperatura termocupla
14:13:03,21.8069154942,22.6
14:13:13,21.8006653035,22.6
14:13:23,21.7944151128,22.6
14:13:33,21.8006653035,22.6
14:13:43,21.7662892544,22.6
14:13:53,21.7600390637,22.6
14:14:03,21.7787896359,22.7
14:14:13,21.7662892544,22.7
14:14:23,21.7600390637,22.7
14:14:33,21.7475386822,22.7
14:14:43,21.72878811,22.7
14:14:53,21.7506637776,22.8
14:15:03,22.0381725517,23
14:15:13,22.1881771294,23.1
14:15:23,22.2725547044,23.4
14:15:34,22.3006805628,23.5
14:15:44,22.3006805628,23.4
14:15:54,22.3163060396,23.4
14:16:04,22.3225562304,23.4
14:16:14,22.3475569933,23.5
14:16:24,22.3475569933,23.4
14:16:34,22.3381817072,23.5
14:16:44,22.3663075655,23.5
14:16:54,22.3475569933,23.5
14:17:04,22.2756797998,23.7
14:17:14,23.138206122,25
14:17:24,23.7819757683,25.4
14:17:34,24.0726096377,25.9
14:17:44,24.3132419813,26.2
14:17:54,24.4694967498,26.4
14:18:04,24.6163762322,26.6
14:18:14,24.7757560961,26.9
14:18:24,24.8882595294,27
14:18:34,25.0507644887,27
14:18:44,25.1695181127,27
14:18:54,25.2976470229,27.1
14:19:04,25.3945249794,27.3
14:19:14,25.5195287942,27.6
14:19:24,25.6257820368,27.5
14:19:34,25.6882839442,27.2
14:19:45,25.8351634266,27.6
14:19:55,25.9445417646,27.8
14:20:05,26.0601702933,27.9
14:20:15,26.1289223914,27.7
14:20:25,26.2789269692,27.9
14:20:35,26.3695547349,27.8
14:20:45,26.5070589312,28
14:20:55,26.6008117924,28.2
14:21:05,26.7164403211,28.3
14:21:15,26.825818659,28.3
14:21:25,26.9226966155,28.3
14:21:35,27.0695760979,28.4
14:21:45,27.1477034822,28.3
14:21:55,27.2102053896,28.2
14:22:05,27.3508346812,28.9
14:22:15,27.4383373516,29.3
14:22:25,27.5352153081,29.5
14:22:35,27.5914670248,29.8
14:22:45,27.6914700766,29.9
14:22:55,27.7414716025,29.7
14:23:05,27.7570970794,29.7
14:23:15,27.8320993683,29.7
14:23:25,27.8852259896,29.8
14:23:35,27.947727897,29.8
14:23:45,27.9789788507,29.7
14:23:56,28.0727317118,29.9
14:24:06,28.1039826655,30
14:24:16,28.1664845729,29.8
14:24:26,28.1789849544,29.7
14:24:36,28.2477370525,29.9
14:24:46,28.2758629109,29.9
14:24:56,28.3164891507,29.9
14:25:06,28.3758659627,29.8
14:25:16,28.4196172979,29.8
14:25:26,28.4664937284,30.2
14:25:36,28.5289956359,29.7
14:25:46,28.8446302683,30.6
14:25:56,30.1415448469,31.6
14:26:06,31.0009460738,32.6
14:26:16,31.6040894803,33.8
14:26:26,32.0447279275,34
14:26:36,32.4603656117,34.6
14:26:46,32.8603778191,35.3
14:26:56,33.1978881191,35.6
14:27:06,33.5603991821,35.4
14:27:16,33.8541581469,35.7
14:27:26,34.1104159673,35.8
14:27:36,34.3854243599,36.1
14:27:46,35.2010742515,37.5
14:27:56,35.8760948515,38.1
14:28:07,36.419861446,38.7
14:28:17,36.8604998932,39
14:28:27,37.2230109561,39.5
14:28:37,37.6292733543,39.4
14:28:47,37.9574083682,39.5
14:28:57,38.3511703848,39.7
14:29:07,38.7386822108,40.6
14:29:17,39.0355662709,41.6
14:29:27,39.4012024293,41.1
14:29:37,39.6543351543,38.8
14:29:47,39.9168431654,39.6
14:29:57,40.7074922941,41.1
14:30:07,40.9950010681,41
14:30:17,40.673116245,40.4
14:30:27,40.4324839015,41
14:30:37,40.1324747459,39
14:30:47,40.0105960265,38
14:30:57,39.8637165441,38.7
14:31:07,39.6668355358,39.9
14:31:17,39.7637134922,39.6
14:31:27,39.7355876339,39
14:31:37,39.7230872524,38.7
14:31:47,39.5824579608,38.9
14:31:57,39.5855830561,39.8
14:32:07,39.4230780969,38.8
14:32:18,39.3762016663,38.7
14:32:28,39.4105777154,39.9
14:32:38,39.3980773339,39.6
14:32:48,39.3637012848,39
14:32:58,39.2543229469,38.9
14:33:08,39.1980712302,39.1
14:33:18,39.1918210395,39.1
14:33:28,39.2168218024,39.3
14:33:38,39.2793237098,39.1
14:33:48,39.1730704672,38.2
14:33:58,39.1605700858,39.1
14:34:08,39.179320658,39.1
14:34:18,39.1980712302,39.1
14:34:28,39.154319895,39.3
14:34:38,39.0605670339,39.3
14:34:48,39.06994232,38.2
14:34:58,39.1449446089,38.9
14:35:08,39.1480697043,39.6
14:35:18,39.0793176061,38.6
14:35:28,39.0918179876,38.1
14:35:38,38.9605639821,37.6
14:35:48,39.0480666524,38.1
14:35:58,39.1293191321,39.5
14:36:08,39.0543168432,38.3
14:36:18,38.9574388867,39.3
14:36:29,38.9324381237,38.4
14:36:39,38.9293130284,38.7
14:36:49,38.7761833552,38
14:36:59,38.8605609302,37.3
14:37:09,38.9949400311,37.6
14:37:19,38.9918149358,38.5
14:37:29,38.9918149358,37.6
14:37:39,39.0074404126,38.5
14:37:49,38.9793145543,38
14:37:59,38.926187933,38.8
14:38:09,38.8511856441,39.2
14:38:19,38.8355601672,37.9
14:38:29,38.8105594043,36
14:38:39,38.8949369793,36.8
14:38:49,38.8918118839,37.6
14:38:59,38.8105594043,38.2
14:39:09,38.6980559709,38.2
14:39:19,38.6574297311,38.4
14:39:29,38.7105563524,37.8
14:39:39,38.6886806848,37.7
14:39:49,38.6636799219,38
14:39:59,38.7605578784,37.9
14:40:09,38.6199285867,37
14:40:19,38.6511795404,35.4
14:40:29,38.8355601672,35.9
14:40:40,38.9199377422,36.3
14:40:50,38.9668141728,38.2
14:41:00,38.9605639821,38.5
14:41:10,38.8793115024,38.9
14:41:20,38.7418073061,39.1
14:41:30,38.7043061617,38.1
14:41:40,38.6074282052,38.1
14:41:50,38.6199285867,38
14:42:00,38.5449262978,34.9
14:42:10,38.6918057802,33.9
14:42:20,38.8511856441,34.7
14:42:30,38.9449385052,36.4
14:42:40,38.9824396496,37.2
14:42:50,38.8261848811,38
14:43:00,38.6918057802,37.7
14:43:10,38.5668019654,37.2
14:43:20,38.5105502487,37.4
14:43:30,38.5449262978,37.2
14:43:40,38.648054445,37.5
14:43:50,38.6855555895,37.5
14:44:00,38.6605548265,38
14:44:10,38.6918057802,38.5
14:44:20,38.6355540635,38.3
14:44:30,38.5949278237,38.1
14:44:40,38.5386761071,38.1
14:44:51,38.6136783959,38.2
14:45:01,38.5855525376,38.7
14:45:11,38.5511764885,38.2
14:45:21,38.5293008209,38.4
14:45:31,38.4511734367,37.7
14:45:41,38.4417981506,36.7
14:45:51,38.4511734367,37.4
14:46:01,38.4542985321,37.9
14:46:11,38.4855494858,37.7
14:46:21,38.4386730552,37.7
14:46:31,38.4949247719,37.3
14:46:41,38.5418012024,38.7
14:46:51,38.5699270608,37.8
14:47:01,38.5386761071,36.1
14:47:11,38.5605517747,34.5
14:47:21,38.673055208,33.8
14:47:31,38.7511825922,32.6
14:47:41,38.8074343089,32.6
14:47:51,38.7511825922,35.3
14:48:01,38.6918057802,37.9
14:48:11,38.6949308756,37.8
14:48:21,38.7105563524,38.7
14:48:31,38.6511795404,38.2
14:48:41,38.4636738182,37.4
14:48:51,38.5543015839,37.9
14:49:02,38.5449262978,37.1
14:49:12,38.5480513932,37.1
14:49:22,38.5105502487,37
14:49:32,38.5543015839,37.6
14:49:42,38.5511764885,38.2
14:49:52,38.5824274422,38
14:50:02,38.5230506302,38.1
14:50:12,38.5293008209,38.5
14:50:22,38.5668019654,38.9
14:50:32,38.5261757256,38.6
14:50:42,38.5668019654,38.3
14:50:52,38.5293008209,37.4
14:51:02,38.5605517747,34.7
14:51:12,38.5824274422,33.9
14:51:22,38.8011841182,34.1
14:51:32,38.8699362163,35.8
14:51:42,38.7418073061,35.6
14:51:52,38.7511825922,35.9
14:52:02,38.6324289682,37
14:52:12,38.5730521561,37.6
14:52:22,38.4761741997,37.2
14:52:32,38.5230506302,37.5
14:52:42,38.4167973876,37.1
14:52:52,38.3886715293,37.8
14:53:02,38.3855464339,37
14:53:13,38.4167973876,37.2
14:53:23,38.3792962432,37.6
14:53:33,38.4511734367,37.2
14:53:43,38.4886745811,36.2
14:53:53,38.5386761071,36.8
14:54:03,38.5293008209,37.5
14:54:13,38.5543015839,37.3
14:54:23,38.588677633,38.1
14:54:33,38.56367687,36.2
14:54:43,38.4824243904,36.8
14:54:53,38.5011749626,38.1
14:55:03,38.6168034913,37.9
14:55:13,38.6324289682,37.4
14:55:23,38.4605487228,38.3
14:55:33,38.5105502487,37.1
14:55:43,38.5543015839,37.1
14:55:53,38.4292977691,37.1
14:56:03,38.4386730552,37.1
14:56:13,38.4449232459,37.1
14:56:23,38.479299295,37.1
14:56:33,38.4261726737,37.1
14:56:43,38.4824243904,37.1
14:56:53,38.4980498672,37.1
14:57:03,38.5199255348,36.9
14:57:13,38.4636738182,37.7
14:57:24,38.4324228645,36.6
14:57:34,38.4605487228,36.2
14:57:44,38.4542985321,37.2
14:57:54,38.4136722922,37.5
14:58:04,38.4574236274,37.8
14:58:14,38.56367687,38.3
14:58:24,38.6886806848,37.8
14:58:34,38.8730613117,39.2
14:58:44,38.9386883145,38.5
14:58:54,38.8980620746,38.5
14:59:04,38.9074373608,38.6
14:59:14,38.9668141728,39.6
14:59:24,38.9511886959,39.6
14:59:34,38.8761864071,39.8
14:59:44,38.816809595,40.8
14:59:54,38.816809595,40.6
15:00:04,38.8543107395,40.2
15:00:14,38.8386852626,40
15:00:24,38.7949339274,39.3
15:00:34,38.7793084506,39.5
15:00:44,38.7511825922,39.5
15:00:54,38.7668080691,40.2
15:01:04,38.757432783,40.1
15:01:14,38.841810358,40.3
15:01:24,38.8855616932,39.9
15:01:34,38.841810358,39.3
15:01:45,38.9761894589,39.3
15:01:55,38.9980651265,39.3
15:02:05,38.9043122654,39.4
15:02:15,38.9324381237,39.9
15:02:25,38.9543137913,39.9
15:02:35,38.9355632191,39.9
15:02:45,39.0136906034,39.2
15:02:55,39.1043183691,39.9
15:03:05,39.0793176061,40.5
15:03:15,39.0230658895,40.6
15:03:25,39.0230658895,40.5
15:03:35,39.010565508,41
15:03:45,38.9480636006,40.2
15:03:55,38.9668141728,40
15:04:05,38.9043122654,39.9
15:04:15,38.9386883145,39.8
15:04:25,38.9511886959,39.9
15:04:35,38.9886898404,40
15:04:45,38.9543137913,40.1
15:04:55,38.9605639821,40.3
15:05:05,38.9824396496,39.5
15:05:15,38.9543137913,40.1
15:05:25,39.0449415571,40.8
15:05:35,39.0668172246,39.9
15:05:45,39.0293160802,40.1
15:05:56,39.0480666524,40.4
15:06:06,39.0293160802,40.4
15:06:16,39.0511917478,40.1
15:06:26,39.094943083,40.4
15:06:36,39.0730674154,40.5
15:06:46,39.0636921293,40.4
15:06:56,39.1011932737,38.3
15:07:06,39.2230719932,37.4
15:07:16,39.5449568163,39.2
15:07:26,39.4574541459,40.2
