Time (min),Real,Ref,Error
0.0033500433,44.179,56.802,12.623
0.0139366984,44.164,56.808,12.644
0.0172708829,44.139,56.808,12.669
0.0206043641,44.114,56.811,12.697
0.0239373803,44.086,56.814,12.728
0.0272701979,44.061,56.814,12.753
0.0306035002,44.045,56.817,12.772
0.0339413524,44.029,56.817,12.788
0.0372706294,44.014,56.82,12.806
0.0406035145,43.992,56.814,12.822
0.0439373533,43.97,56.817,12.847
0.0472703298,43.945,56.814,12.869
0.0506040494,43.92,56.827,12.907
0.0539373517,43.904,56.82,12.916
0.0572707693,43.87,56.814,12.944
0.060605375,43.842,56.814,12.972
0.0639372071,43.811,56.82,13.009
0.0672722061,43.786,56.817,13.031
0.0706037641,43.767,56.824,13.057
0.0739368161,43.742,56.824,13.082
0.077270623,43.72,56.82,13.1
0.0806039651,43.698,56.814,13.116
0.083937037,43.692,56.811,13.119
0.0872705897,43.679,56.827,13.148
0.0906042735,43.67,56.827,13.157
0.0939374169,43.667,56.817,13.15
0.0972707391,43.661,56.83,13.169
0.1006036599,43.658,56.82,13.162
0.1039375544,43.651,56.82,13.169
0.1072712501,43.651,56.817,13.166
0.1106039921,43.654,56.82,13.166
0.1139370839,43.642,56.817,13.175
0.1172701875,43.633,56.827,13.194
0.1206039548,43.617,56.824,13.207
0.1239372492,43.608,56.827,13.219
0.127270631,43.595,56.824,13.229
0.1306038618,43.576,56.82,13.244
0.1339370211,43.558,56.82,13.262
0.1372705102,43.533,56.824,13.291
0.1406034748,43.508,56.83,13.322
0.1439370473,43.483,56.827,13.344
0.1472703218,43.451,56.824,13.373
0.150603799,43.426,56.842,13.416
0.1539370934,43.398,56.83,13.432
0.1572714885,43.373,56.82,13.447
0.1606039564,43.354,56.83,13.476
0.163937362,43.339,56.827,13.488
0.1672715823,43.314,56.83,13.516
0.1706039111,43.295,56.817,13.522
0.17393713,43.27,56.824,13.554
0.1772701422,43.239,56.827,13.588
0.180603985,43.214,56.82,13.606
0.1839369178,43.189,56.824,13.635
0.1872704864,43.161,56.82,13.659
0.1906040708,43.139,56.827,13.688
0.1939371665,43.114,56.827,13.713
0.1972718,43.098,56.82,13.722
0.2006037315,43.083,56.827,13.744
0.2039371212,43.07,56.842,13.772
0.2072701216,43.067,56.824,13.757
0.2106036584,43.058,56.827,13.769
0.2139373779,43.058,56.827,13.769
0.217270275,43.051,56.824,13.773
0.2206036607,43.045,56.82,13.775
0.2239374717,43.036,56.824,13.788
0.2272702853,43.029,56.827,13.798
0.2306039731,43.029,56.83,13.801
0.2339373231,43.023,56.824,13.801
0.2372702519,43.02,56.824,13.804
0.2406040629,43.017,56.83,13.813
0.2439373453,43.011,56.836,13.825
0.2472707033,43.011,56.827,13.816
0.2506044308,43.001,56.827,13.826
0.2539371371,42.989,56.824,13.835
0.257271258,43.476,57.267,13.791
0.2606036544,43.458,57.261,13.803
0.2639371077,43.451,57.264,13.813
0.2672703664,43.445,57.261,13.816
0.270604078,43.429,57.264,13.835
0.2739368081,43.429,57.27,13.841
0.2772706946,43.42,57.264,13.844
0.2806037227,43.414,57.264,13.85
0.2839377364,43.408,57.267,13.859
0.2872705936,43.404,57.267,13.863
0.2906041741,43.401,57.264,13.863
0.2939370195,43.398,57.264,13.866
0.2972702781,43.386,57.264,13.878
0.3006039302,43.376,57.267,13.891
0.3039373716,43.376,57.267,13.891
0.3072706421,43.37,57.267,13.897
0.3106041034,43.367,57.267,13.9
0.3139369845,43.361,57.274,13.913
0.3172705412,43.354,57.274,13.92
0.3206037005,43.348,57.274,13.926
0.3239373008,43.329,57.27,13.941
0.3272717555,43.317,57.264,13.947
0.3306062102,43.301,57.267,13.966
0.3339369694,43.286,57.27,13.984
0.3372706135,43.279,57.27,13.991
0.3406035225,43.27,57.274,14.004
0.3439373771,43.264,57.277,14.013
0.3472704689,43.267,57.267,14
0.3506039023,43.261,57.27,14.009
0.3539372921,43.267,57.27,14.003
0.3572713057,43.267,57.267,14
0.360603567,43.27,57.27,14
0.3639371117,43.27,57.27,14
0.3672709187,43.261,57.27,14.009
0.370603919,43.251,57.267,14.016
0.3739383936,43.248,57.267,14.019
0.3772717476,43.248,57.27,14.022
0.3806034764,43.248,57.27,14.022
0.3839395642,43.248,57.264,14.016
0.3872708599,43.254,57.267,14.013
0.3906040271,43.254,57.27,14.016
0.393937397,43.264,57.267,14.003
0.3972707192,43.27,57.274,14.004
0.4006040454,43.276,57.267,13.991
0.4039373994,43.283,57.27,13.987
0.407270662,43.289,57.267,13.978
0.4106034438,43.298,57.264,13.966
0.413937072,43.304,57.267,13.963
0.4172706366,43.304,57.267,13.963
0.4206035455,43.301,57.27,13.969
0.4239404122,43.304,57.267,13.963
0.427270774,43.311,57.267,13.956
0.4306062539,43.317,57.27,13.953
0.4339372555,43.323,57.267,13.944
0.4372704824,43.336,57.264,13.928
0.4406036576,43.348,57.267,13.919
0.4439373295,43.358,57.267,13.909
0.4472701629,43.37,57.261,13.891
0.4506039461,43.379,57.264,13.885
0.4539376299,43.392,57.267,13.875
0.4572701693,43.395,57.261,13.866
0.460603869,43.398,57.264,13.866
0.4639371912,43.398,57.264,13.866
0.4672703822,43.398,57.264,13.866
0.4706040223,43.404,57.258,13.854
0.4739391923,43.411,57.261,13.85
0.4772701422,43.414,57.264,13.85
0.4806037664,43.423,57.264,13.841
0.4839373787,43.433,57.264,13.831
0.4872706811,43.439,57.264,13.825
0.4906040867,43.439,57.267,13.828
0.4939373811,43.433,57.264,13.831
0.4972704411,43.429,57.264,13.835
0.5006039262,43.426,57.264,13.838
0.503937157,43.42,57.264,13.844
0.5072701335,43.411,57.264,13.853
0.5106039604,43.401,57.264,13.863
0.5139371951,43.392,57.264,13.872
0.5172706405,43.383,57.264,13.881
0.5206041614,43.376,57.261,13.885
0.523937432,43.376,57.261,13.885
0.5272703846,43.373,57.258,13.885
0.53060414,43.379,57.261,13.882
0.5339372476,43.386,57.258,13.872
0.5372707248,43.392,57.258,13.866
0.5406039715,43.404,57.255,13.851
0.5439370632,43.411,57.261,13.85
0.547271049,43.426,57.255,13.829
0.5506037712,43.442,57.255,13.813
0.5539372643,43.454,57.258,13.804
0.5572707693,43.476,57.252,13.776
0.5606037418,43.492,57.255,13.763
0.5639369686,43.514,57.252,13.738
0.5672704816,43.536,57.258,13.722
0.5706039906,43.558,57.249,13.691
0.5739368598,43.586,57.252,13.666
0.5772705555,43.611,57.255,13.644
0.5806036949,43.639,57.252,13.613
0.5839374026,43.667,57.245,13.578
0.5872706731,43.695,57.249,13.554
0.5906056563,43.72,57.249,13.529
0.593936797,43.742,57.249,13.507
0.5972702662,43.761,57.249,13.488
0.6006039182,43.789,57.252,13.463
0.6039371451,43.814,57.249,13.435
0.6072701732,43.842,57.249,13.407
0.6106035471,43.867,57.249,13.382
0.6139368097,43.892,57.249,13.357
0.6172739824,43.914,57.249,13.335
0.6206040462,43.942,57.252,13.31
0.6239373962,43.964,57.252,13.288
0.6272707582,43.989,57.249,13.26
0.630603989,44.011,57.255,13.244
0.6339373151,44.036,57.252,13.216
0.6372704824,44.061,57.252,13.191
0.6406034787,44.073,57.252,13.179
0.6439380169,44.095,57.252,13.157
0.647272559,44.117,57.255,13.138
0.6506058931,44.139,57.249,13.11
0.6539378246,44.158,57.255,13.097
0.6572706421,44.183,57.252,13.069
0.6606040001,44.208,57.255,13.047
0.6639369686,44.233,57.258,13.025
0.6672703942,44.248,57.255,13.007
0.670603927,44.267,57.258,12.991
0.6739368399,44.283,57.258,12.975
0.6772701621,44.289,57.261,12.972
0.6806039929,44.295,57.261,12.966
0.6839373827,44.292,57.264,12.972
0.6872706254,44.286,57.264,12.978
0.6906037052,44.279,57.261,12.982
0.6939373334,44.279,57.261,12.982
0.6972703457,44.276,57.264,12.988
0.7006038904,44.279,57.264,12.985
0.7039371093,44.283,57.261,12.978
0.7072701454,44.283,57.258,12.975
0.7106040875,44.286,57.264,12.978
0.7139372389,44.295,57.264,12.969
0.7172706048,44.311,57.261,12.95
0.7206041018,44.333,57.261,12.928
0.7239374995,44.358,57.264,12.906
0.7272706787,44.386,57.264,12.878
0.7306038221,44.414,57.261,12.847
0.7339372317,44.439,57.258,12.819
0.7372707486,44.467,57.261,12.794
0.7406035066,44.492,57.261,12.769
0.7439372063,44.517,57.258,12.741
0.7472705086,44.545,57.258,12.713
0.7506063382,44.573,57.258,12.685
0.7539373358,44.601,57.258,12.657
0.7572734316,44.633,57.258,12.625
0.7606040438,44.667,57.258,12.591
0.7639375011,44.704,57.252,12.548
0.7672702829,44.739,57.252,12.513
0.7706038555,44.776,57.252,12.476
0.7739368478,44.817,57.255,12.438
0.7772703926,44.858,57.252,12.394
0.7806037545,44.895,57.252,12.357
0.7839372754,44.933,57.249,12.316
0.787270387,44.973,57.249,12.276
0.7906040629,45.011,57.252,12.241
0.7939370036,45.048,57.252,12.204
0.797270147,45.089,57.249,12.16
0.800603954,45.126,57.249,12.123
0.8039382219,45.164,57.249,12.085
0.8072701534,45.195,57.249,12.054
0.8106066028,45.233,57.242,12.009
0.8139376918,45.267,57.242,11.975
0.8172704856,45.305,57.242,11.937
0.8206035376,45.345,57.245,11.9
0.8239373446,45.38,57.245,11.865
0.8272702416,45.42,57.242,11.822
0.8306081971,45.458,57.242,11.784
0.8339371045,45.495,57.239,11.744
0.837272803,45.533,57.239,11.706
0.8406041026,45.567,57.239,11.672
0.8439368129,45.601,57.236,11.635
0.8472703338,45.636,57.236,11.6
0.850604403,45.667,57.233,11.566
0.8539373159,45.701,57.23,11.529
0.8572743694,45.739,57.233,11.494
0.8606035868,45.776,57.233,11.457
0.8639373461,45.808,57.233,11.425
0.8672706286,45.842,57.239,11.397
0.8706041098,45.873,57.233,11.36
0.8739368121,45.905,57.233,11.328
0.8772701303,45.939,57.233,11.294
0.8806037148,45.976,57.23,11.254
0.8839373072,46.008,57.233,11.225
0.8872705261,46.039,57.233,11.194
0.8906044046,46.07,57.233,11.163
0.8939371069,46.101,57.233,11.132
0.897270445,46.133,57.233,11.1
