Time (min),Real,Ref,Error
0.0033507506,23.363,67.065,43.702
0.0107557495,23.351,67.065,43.714
0.0140914281,23.351,67.065,43.714
0.0174228271,23.363,67.052,43.689
0.0207560897,23.326,67.052,43.726
0.0240897457,23.338,67.065,43.727
0.0274226228,23.326,67.052,43.726
0.0307565212,23.326,67.065,43.739
0.0340894302,23.338,67.065,43.727
0.0374228915,23.363,67.065,43.702
0.0407585979,23.326,67.065,43.739
0.0440899134,23.338,67.065,43.727
0.047424221,23.351,67.065,43.714
0.0507563392,23.313,67.065,43.752
0.0540898442,23.326,67.065,43.739
0.0574231227,23.313,67.065,43.752
0.060756441,23.338,67.065,43.727
0.0640899221,23.313,67.065,43.752
0.0674227635,23.313,67.065,43.752
0.0707566102,23.313,67.065,43.752
0.0740899404,23.301,67.065,43.764
0.077423199,23.301,67.065,43.764
0.0807563861,23.313,67.09,43.777
0.0840893547,23.301,67.065,43.764
0.0874232173,23.351,67.065,43.714
0.0907559792,23.313,67.065,43.752
0.0940896114,23.313,67.065,43.752
0.0974248489,23.338,67.102,43.764
0.1007562439,23.351,67.052,43.701
0.1040921172,23.313,67.065,43.752
0.1074226499,23.288,67.065,43.777
0.1107569973,23.276,67.065,43.789
0.1140895128,23.313,67.065,43.752
0.1174243768,23.276,67.065,43.789
0.1207570314,23.301,67.065,43.764
0.1240897894,23.351,67.065,43.714
0.1274238984,23.276,67.052,43.776
0.1307560285,23.263,67.065,43.802
0.1340899348,23.263,67.077,43.814
0.137422661,23.301,67.065,43.764
0.1407564243,23.238,67.065,43.827
0.1440898061,23.226,67.052,43.826
0.1474228303,23.338,67.102,43.764
0.1507560213,23.213,67.052,43.839
0.154093504,23.301,67.065,43.764
0.1574253162,23.351,67.065,43.714
0.1607560714,23.226,67.052,43.826
0.1640909115,23.213,67.052,43.839
0.1674253027,23.238,67.052,43.814
0.1707560062,23.238,67.077,43.839
0.1740902781,23.226,67.077,43.851
0.1774226348,23.251,67.052,43.801
0.1807562311,23.251,67.077,43.826
0.1840894341,23.226,67.065,43.839
0.1874262293,23.201,67.052,43.851
0.1907564998,23.301,67.077,43.776
0.1940896273,23.226,67.052,43.826
0.1974253098,23.213,67.127,43.914
0.2007562995,23.351,67.077,43.726
0.2040909489,23.101,67.052,43.951
0.2074227492,23.326,67.077,43.751
0.2107574185,23.288,67.052,43.764
0.2140898903,23.263,67.052,43.789
0.2174239397,23.226,67.065,43.839
0.2207561016,23.401,67.052,43.651
0.2240905762,23.213,67.052,43.839
0.2274246693,23.201,67.065,43.864
0.2307575266,23.263,67.052,43.789
0.234089605,23.288,67.065,43.777
0.2374250929,23.213,67.065,43.852
0.2407570561,23.638,67.365,43.727
0.2440893571,23.738,67.352,43.614
0.2474227349,23.663,67.352,43.689
0.2507587314,23.713,67.415,43.702
0.2540922205,23.676,67.34,43.664
0.2574231664,23.651,67.352,43.701
0.2607560674,23.688,67.352,43.664
0.2640895645,23.738,67.352,43.614
0.2674229185,23.788,67.352,43.564
0.2707564274,23.663,67.352,43.689
0.2740893126,23.751,67.34,43.589
0.2774226348,23.776,67.352,43.576
0.2807565689,23.663,67.352,43.689
0.2840896765,23.726,67.352,43.626
0.2874231577,23.651,67.352,43.701
0.2907561779,23.688,67.352,43.664
0.2940895398,23.801,67.365,43.564
0.2974229574,23.663,67.39,43.727
0.3007560293,23.751,67.327,43.576
0.304089574,23.701,67.352,43.651
0.3074227095,23.801,67.352,43.551
0.3107565125,23.763,67.327,43.564
0.3140894453,23.776,67.352,43.576
0.3174247901,23.813,67.327,43.514
0.320756642,23.801,67.352,43.551
0.3240899563,23.788,67.34,43.552
0.3274226785,23.838,67.34,43.502
0.3307563742,23.863,67.352,43.489
0.3340893467,23.863,67.352,43.489
0.3374231259,23.863,67.352,43.489
0.3407563289,23.913,67.34,43.427
0.3440911134,23.951,67.352,43.401
0.347422719,23.926,67.352,43.426
0.350756522,23.951,67.352,43.401
0.3540895859,23.976,67.365,43.389
0.3574232539,24.013,67.352,43.339
0.3607559919,24.026,67.327,43.301
0.3640894373,24.051,67.352,43.301
0.3674226999,24.076,67.34,43.264
0.3707565864,24.138,67.352,43.214
0.3740900437,24.126,67.34,43.214
0.3774227579,24.188,67.365,43.177
0.3807560205,24.163,67.365,43.202
0.3840900819,24.201,67.352,43.151
