Hora,Temperatura (C),Voltaje C (V)
10:25:49,29.7071565905,3.193472457
10:25:50,29.7071565905,3.1798470412
10:25:51,29.6977813044,3.1587213965
10:25:52,29.6915311136,3.1588464003
10:25:53,29.6884060183,3.159721427
10:25:54,29.6884060183,3.159721427
10:25:55,29.694656209,3.1589714042
10:25:56,29.6915311136,3.1605964537
10:25:58,29.6915311136,3.1604714499
10:25:59,29.6977813044,3.1594714194
10:26:00,29.7102816858,3.159096408
10:26:01,29.6977813044,1.198161565
10:26:02,29.7102816858,0.7335223853
10:26:03,29.6727805414,0.631144261
10:26:04,29.5977782525,0.5441416059
10:26:05,29.5040253914,0.4707643666
10:26:06,29.4040223395,0.4057623829
10:26:07,29.2883938108,0.3511357158
10:26:08,29.163389996,0.3045092929
10:26:09,29.044636372,0.2592579119
10:26:10,28.9258827479,0.2215067598
10:26:11,28.8071291238,0.1881307413
10:26:12,28.682125309,0.1622549516
10:26:13,28.5446211127,0.137004181
10:26:14,28.4071169164,0.1162535478
10:26:15,28.2946134831,0.0976279794
10:26:16,28.1789849544,0.0828775292
10:26:17,28.066481521,0.0672520524
10:26:18,27.9602282785,0.057376751
10:26:19,27.8477248451,0.047251442
10:26:20,27.7383465072,0.0376261483
10:26:21,27.6352183599,0.030375927
10:26:22,27.5320902127,0.0212506485
10:26:23,27.4289620655,0.0170005188
10:26:24,27.332084109,0.0120003662
10:26:25,27.2258308664,0.0065001984
10:26:26,27.1320780053,0.0018750572
10:26:27,27.0352000488,-0.0010000305
10:26:28,26.9320719016,-0.005375164
10:26:30,26.8351939451,-0.0093752861
10:26:31,26.741441084,-0.0095002899
10:26:32,26.6539384136,-0.0108753319
10:26:33,26.5789361248,-0.0118753624
10:26:34,26.513309122,-0.0125003815
10:26:35,26.4445570238,-0.0150004578
10:26:36,26.3789300211,-0.0162504959
10:26:37,26.319553209,-0.0171255226
10:26:38,26.260176397,-0.0170005188
10:26:39,26.1976744896,-0.0183755608
10:26:40,26.1445478683,-0.0186255684
10:26:41,26.1007965331,-0.018875576
10:26:42,26.0382946257,-0.0178755455
10:26:43,25.982042909,-0.0266258126
10:26:44,25.94766686,-0.0181255531
10:26:45,25.9195410016,-0.0177505417
10:26:46,25.8882900479,-0.0187505722
10:26:47,25.8539139988,-0.0186255684
10:26:48,25.8164128544,-0.0185005646
10:26:49,25.7820368053,-0.018250557
10:26:50,25.7507858516,-0.0187505722
10:26:51,25.7132847072,-0.0198756066
10:26:52,25.6789086581,-0.0193755913
10:26:53,25.6382824183,-0.018250557
10:26:54,25.6007812738,-0.0181255531
10:26:55,25.560155034,-0.0186255684
10:26:56,25.5132786035,-0.0186255684
10:26:57,25.4664021729,-0.0187505722
10:26:58,25.4226508377,-0.0177505417
10:26:59,25.3726493118,-0.0185005646
10:27:00,25.3195226905,-0.0173755303
10:27:02,25.2663960692,-0.0180005493
10:27:03,25.2195196387,-0.0181255531
10:27:04,25.1757683035,-0.0190005799
10:27:05,25.1413922544,-0.0180005493
10:27:06,25.1132663961,-0.0183755608
10:27:07,25.0851405377,-0.0181255531
10:27:08,25.0601397748,-0.0181255531
10:27:09,25.0351390118,-0.0187505722
10:27:10,25.0132633442,-0.0171255226
10:27:11,24.9913876766,-0.0183755608
10:27:12,24.9632618183,-0.018875576
10:27:13,24.9288857692,-0.0195005951
10:27:14,24.9007599109,-0.0186255684
10:27:15,24.8726340526,-0.018250557
10:27:16,24.8413830988,-0.0050001526
10:27:17,24.8132572405,-0.0196255989
10:27:18,24.7820062868,-0.0177505417
10:27:19,24.7570055239,-0.0178755455
10:27:20,24.7257545701,-0.018250557
10:27:21,24.6882534257,-0.0180005493
10:27:22,24.6507522813,-0.0031250954
10:27:23,24.6101260414,-0.014875454
10:27:24,24.5757499924,-0.018250557
10:27:25,24.5382488479,-0.018875576
10:27:26,24.4944975127,-0.0171255226
10:27:27,24.4382457961,-0.0185005646
10:27:28,24.3976195563,-0.0180005493
10:27:29,24.3601184118,-0.0187505722
10:27:30,24.3288674581,-0.0190005799
10:27:31,24.2976165044,-0.0183755608
10:27:32,24.2694906461,-0.0181255531
10:27:34,24.2444898831,-0.0185005646
10:27:35,24.2194891202,-0.0205006256
10:27:36,24.2007385479,-0.0177505417
10:27:37,24.1882381664,-0.018250557
10:27:38,24.175737785,-0.018250557
10:27:39,24.1601123081,-0.0177505417
10:27:40,24.1413617359,-0.0183755608
10:27:41,24.1226111637,-0.0192505875
10:27:42,24.1038605914,-0.0186255684
10:27:43,24.0819849239,-0.0193755913
10:27:44,24.0601092563,-0.0198756066
10:27:45,24.0319833979,-0.0207506333
10:27:46,24.0007324442,-0.0197506027
10:27:47,23.9632312998,-0.018875576
10:27:48,23.9351054415,-0.0181255531
10:27:49,23.9132297739,-0.0187505722
10:27:50,23.8913541063,-0.0187505722
10:27:51,23.8757286294,-0.0187505722
10:27:52,23.8569780572,-0.0185005646
10:27:53,23.8413525803,-0.0177505417
10:27:54,23.8257271035,-0.018250557
10:27:55,23.813226722,-0.0190005799
10:27:56,23.7976012452,-0.0181255531
10:27:57,23.7819757683,-0.0181255531
10:27:58,23.7663502915,-0.0196255989
10:27:59,23.7507248146,-0.0191255837
10:28:00,23.7319742424,-0.0191255837
10:28:01,23.7132236702,-0.018875576
10:28:02,23.6944730979,-0.0187505722
10:28:03,23.6757225257,-0.0173755303
10:28:04,23.6600970489,-0.0186255684
10:28:06,23.6350962859,-0.018875576
10:28:07,23.6100955229,-0.0181255531
10:28:08,23.5882198553,-0.018250557
10:28:09,23.5663441877,-0.0177505417
10:28:10,23.5475936155,-0.0185005646
10:28:11,23.5257179479,-0.0187505722
10:28:12,23.5100924711,-0.0186255684
10:28:13,23.4913418989,-0.0242507401
10:28:14,23.4694662313,-0.0181255531
10:28:15,23.450715659,-0.0178755455
10:28:16,23.4257148961,-0.018250557
10:28:17,23.4069643239,-0.0186255684
10:28:18,23.3850886563,-0.0190005799
10:28:19,23.366338084,-0.0193755913
10:28:20,23.3444624165,-0.0186255684
10:28:21,23.331962035,-0.0190005799
10:28:22,23.3163365581,-0.018250557
10:28:23,23.3007110813,-0.018250557
10:28:24,23.2850856044,-0.0195005951
10:28:25,23.2694601276,-0.0186255684
10:28:26,23.2538346507,-0.0195005951
10:28:27,23.2382091739,-0.0190005799
10:28:28,23.2163335063,-0.0190005799
10:28:29,23.197582934,-0.0193755913
10:28:30,23.1819574572,-0.016875515
10:28:31,23.163206885,-0.0186255684
10:28:32,23.1413312174,-0.0183755608
10:28:33,23.1225806452,-0.018875576
10:28:34,23.1069551683,-0.0180005493
10:28:35,23.0944547868,-0.0177505417
10:28:36,23.0819544053,-0.0190005799
10:28:38,23.0663289285,-0.0181255531
10:28:39,23.053828547,-0.0191255837
10:28:40,23.0382030702,-0.0185005646
10:28:41,23.0257026887,-0.0185005646
10:28:42,23.0100772118,-0.018875576
10:28:43,23.0007019257,-0.018250557
10:28:44,22.9850764489,-0.0196255989
10:28:45,22.9757011628,-0.0190005799
10:28:46,22.9538254952,-0.0158754845
10:28:47,22.9350749229,-0.0183755608
10:28:48,22.9163243507,-0.0175005341
10:28:49,22.9006988739,-0.020250618
10:28:50,22.8819483016,-0.0198756066
10:28:51,22.8631977294,-0.0181255531
10:28:52,22.8413220618,-0.0187505722
10:28:53,22.825696585,-0.0186255684
10:28:54,22.8038209174,-0.0190005799
10:28:55,22.7819452498,-0.0186255684
10:28:56,22.7725699637,-0.0193755913
10:28:57,22.7631946776,-0.0181255531
10:28:58,22.7569444868,-0.0185005646
10:28:59,22.7506942961,-0.0187505722
10:29:00,22.7444441053,-0.0207506333
10:29:01,22.7381939146,-0.0195005951
10:29:02,22.7319437239,-0.0185005646
10:29:03,22.7131931516,-0.0192505875
10:29:04,22.7069429609,-0.02162566
10:29:05,22.6944425794,-0.0180005493
10:29:06,22.6850672933,-0.0186255684
10:29:07,22.6756920072,-0.0178755455
10:29:08,22.6663167211,-0.0180005493
10:29:10,22.6538163396,-0.0185005646
10:29:11,22.6381908628,-0.0187505722
10:29:12,22.6194402905,-0.0180005493
10:29:13,22.6131900998,-0.0195005951
10:29:14,22.6038148137,-0.0176255379
10:29:15,22.5944395276,-0.0192505875
10:29:16,22.5819391461,-0.0195005951
10:29:17,22.57256386,-0.0193755913
10:29:18,22.5600634785,-0.0190005799
10:29:19,22.547563097,-0.0183755608
10:29:20,22.5350627155,-0.018875576
10:29:21,22.5194372387,-0.0195005951
10:29:22,22.5069368572,-0.0205006256
10:29:23,22.4975615711,-0.0071252174
10:29:24,22.488186285,-0.0190005799
10:29:25,22.4756859035,-0.020250618
10:29:26,22.4663106174,-0.0205006256
10:29:27,22.4538102359,-0.018875576
10:29:28,22.4444349498,-0.0197506027
10:29:29,22.4319345683,-0.0190005799
10:29:30,22.4225592822,-0.0197506027
10:29:31,22.4163090915,-0.0192505875
10:29:32,22.4069338054,-0.0198756066
10:29:33,22.3975585192,-0.0196255989
10:29:34,22.3850581378,-0.0185005646
10:29:35,22.3756828516,-0.0213756523
10:29:36,22.3663075655,-0.0205006256
10:29:37,22.3569322794,-0.0196255989
10:29:38,22.3475569933,-0.0197506027
10:29:39,22.3381817072,-0.0203756218
10:29:40,22.3256813257,-0.018250557
10:29:41,22.3163060396,-0.0227506943
10:29:43,22.3069307535,-0.0187505722
10:29:44,22.2975554674,-0.0076252327
10:29:45,22.2881801813,-0.0191255837
10:29:46,22.2788048952,-0.0193755913
10:29:47,22.2725547044,-0.0193755913
10:29:48,22.2600543229,-0.020250618
10:29:49,22.2538041322,-0.0192505875
10:29:50,22.2444288461,-0.0206256294
10:29:51,22.2319284646,-0.0215006561
10:29:52,22.2225531785,-0.0196255989
10:29:53,22.2131778924,-0.0192505875
10:29:54,22.2038026063,-0.0151254616
10:29:55,22.1944273202,-0.0201256142
10:29:56,22.1819269387,-0.0201256142
10:29:57,22.1725516526,-0.0193755913
10:29:58,22.1631763665,-0.0185005646
10:29:59,22.1538010804,-0.0186255684
10:30:00,22.1413006989,-0.0186255684
10:30:01,22.1319254128,-0.0213756523
10:30:02,22.1194250313,-0.0190005799
10:30:03,22.1069246498,-0.0197506027
10:30:04,22.1006744591,-0.0210006409
10:30:05,22.0975493637,-0.0186255684
10:30:06,22.0912991729,-0.0191255837
10:30:07,22.0850489822,-0.0191255837
10:30:08,22.0819238868,-0.0186255684
10:30:09,22.0756736961,-0.0191255837
10:30:10,22.0725486007,-0.0212506485
10:30:11,22.0725486007,-0.0225006867
10:30:12,22.0694235054,-0.0196255989
10:30:13,22.0569231239,-0.0191255837
10:30:15,22.0444227424,-0.0203756218
10:30:16,22.0287972655,-0.0196255989
10:30:17,22.0131717887,-0.0193755913
10:30:18,21.9975463118,-0.0232507096
10:30:19,21.981920835,-0.0196255989
10:30:20,21.9694204535,-0.0195005951
10:30:21,21.9537949767,-0.0211256447
10:30:22,21.9350444044,-0.0190005799
10:30:23,21.9287942137,-0.0187505722
10:30:24,21.9287942137,-0.0197506027
10:30:25,21.9319193091,-0.0197506027
10:30:26,21.9319193091,-0.0196255989
10:30:27,21.9319193091,-0.0193755913
10:30:28,21.9319193091,-0.0150004578
10:30:29,21.9350444044,-0.0183755608
10:30:30,21.9287942137,-0.018875576
10:30:31,21.9162938322,-0.0203756218
10:30:32,21.9037934507,-0.0207506333
10:30:33,21.8881679739,-0.02162566
10:30:34,21.872542497,-0.0145004425
10:30:35,21.8631672109,-0.0197506027
10:30:36,21.8569170202,-0.0206256294
10:30:37,21.8569170202,-0.0187505722
10:30:38,21.8631672109,-0.0185005646
10:30:39,21.8694174017,-0.0187505722
10:30:40,21.8694174017,-0.0191255837
10:30:41,21.872542497,-0.02162566
10:30:42,21.872542497,-0.0201256142
10:30:43,21.872542497,-0.0211256447
10:30:44,21.8662923063,-0.0212506485
10:30:45,21.8600421155,-0.0210006409
10:30:47,21.8600421155,-0.0207506333
10:30:48,21.8569170202,-0.018875576
10:30:49,21.8569170202,-0.0195005951
10:30:50,21.8506668294,-0.0211256447
10:30:51,21.8506668294,-0.020250618
10:30:52,21.8569170202,-0.0195005951
10:30:53,21.8537919248,-0.0192505875
10:30:54,21.8537919248,-0.0196255989
10:30:55,21.8600421155,-0.0196255989
10:30:56,21.8569170202,-0.0210006409
10:30:57,21.8569170202,-0.0213756523
10:30:58,21.8506668294,-0.0198756066
10:30:59,21.8444166387,-0.0198756066
