Wiper,Voltage (V),std (V)
0,-0.019138084047975096,2.5000762962735976e-05
1,-0.0094409131138035209,1.6829153607305689e-05
2,6.2501907406842255e-05,1.9764838551056981e-05
3,0.0091940305795464947,2.3386072353627324e-05
4,0.017978673665578173,2.0010373910125694e-05
5,0.026700814844203009,3.4799589266872578e-05
6,0.035351078829309976,3.6444561542537803e-05
7,0.043829462569048135,4.0142576862553747e-05
8,0.052407849360637228,3.9529677102114293e-05
9,0.060926859340189821,3.1869844550427059e-05
10,0.06944899441511275,5.4218378278899044e-05
11,0.07810238349559008,5.5552910448507803e-05
12,0.086755772576067397,5.3126621295817236e-05
13,0.095468538468581193,4.9313173162547805e-05
14,0.10408755149998475,4.8514526471664173e-05
15,0.11271281472212898,6.4121595987950755e-05
16,0.12144433118686485,6.3201142546289747e-05
17,0.13029460127567369,5.4218378278898157e-05
18,0.13899799188207645,7.098852072023175e-05
19,0.14775138401440474,5.8381599453355588e-05
20,0.15650165105136266,6.4727960269358203e-05
21,0.16520191656239511,6.4121595987951839e-05
22,0.17398030945768611,5.5552910448505303e-05
23,0.18270557573168128,8.1731849449490993e-05
24,0.19146834315012057,5.3766173732421583e-05
25,0.20025611133152252,5.7623911400307004e-05
26,0.20909700613422039,7.0505365232240383e-05
27,0.21779727164525284,0.00010463237464406326
28,0.22665066682943205,7.015821706088038e-05
29,0.2355228125858333,8.2977020053645446e-05
30,0.24415432599871822,8.0345952790017243e-05
31,0.25293896908474994,8.8169790601381416e-05
32,0.26172361217078155,7.5843946445505422e-05
33,0.27043637806329535,9.1699053127532407e-05
34,0.27920539567247532,8.506920603623417e-05
35,0.28774628131962032,9.2915765234865411e-05
36,0.29652154911954093,7.5521342063425081e-05
37,0.30524369029816578,0.00012283652371717998
38,0.31396583147679069,7.9306029855767641e-05
39,0.32263172093874937,0.00010684901700622228
40,0.33127260963774535,9.4994674967230103e-05
41,0.34008537858211002,8.5241236962275112e-05
42,0.34871376689962463,9.5046065111628109e-05
43,0.35736715598010182,8.7502670369576531e-05
44,0.36602679525131993,8.9761530656678223e-05
45,0.3747864375743889,9.4582548620456868e-05
46,0.38341795098727377,9.2705310230235111e-05
47,0.39213071687978751,8.4781712121591798e-05
48,0.40082473220007941,9.9807542276165271e-05
49,0.40952187261574152,8.2741289406729077e-05
50,0.41831276589251393,7.5521342063420948e-05
51,0.42715991088595234,9.6877956480607324e-05
52,0.43592267830439158,8.8886854194816269e-05
53,0.44468232062746066,0.00010097492164383201
54,0.45337946104312266,8.6209594808887949e-05
55,0.46205160069582202,8.4781712121595891e-05
56,0.47086749473555711,8.5069206036241923e-05
57,0.47971151463362532,0.00010082973836005583
58,0.48859928586687829,8.3913320719438794e-05
59,0.49722454908902247,9.9856455556379499e-05
60,0.50604356822412788,9.1057793140405315e-05
61,0.5149407147434919,9.1858668658455239e-05
62,0.52380348521378217,9.3544289414506518e-05
63,0.53259125339518421,8.5241236962275938e-05
64,0.54125714285714277,8.8446272279050719e-05
65,0.55020116580706202,9.9267905505237602e-05
66,0.55893893246253845,0.00010198541779848665
67,0.56750481887264626,0.00012038717570165431
68,0.57636758934293653,8.0041495640529434e-05
69,0.58529286172063366,7.3688662065436562e-05
70,0.59429313638721892,7.3688662065438432e-05
71,0.60305902890102847,7.1331628184246427e-05
72,0.61194367503891101,6.7316614429224558e-05
73,0.62084082155827514,8.5069206036242736e-05
74,0.62978796960356453,8.4087716447626469e-05
75,0.63886949674977866,5.8964181519382573e-05
76,0.64778226874599443,0.00014128749369535131
77,0.65660753807184058,7.8811906479242107e-05
78,0.66550468459120471,7.0227783976413576e-05
79,0.67453308511612309,5.9623019638727359e-05
80,0.68344273201696826,5.275768196210408e-05
81,0.69245863216040515,5.9294515653203708e-05
82,0.70122764976958518,6.4349652176709816e-05
83,0.70998104190191369,4.8514526471668374e-05
84,0.7188688131351666,5.3126621295824012e-05
85,0.72789096346934412,5.191798355435558e-05
86,0.73674748374889376,7.7562827317074183e-05
87,0.74561650440992455,5.4128239599301751e-05
88,0.75452615131076994,3.5494260360125403e-05
89,0.76345142368846708,5.0487460821917727e-05
90,0.77232981963560898,4.1459075109989087e-05
91,0.78118008972441788,3.9529677102119226e-05
92,0.79000535905026414,4.8815550206751327e-05
93,0.79892125614184994,4.4305873604062114e-05
94,0.80781215247047322,3.0619556219486091e-05
95,0.81672804956205936,2.8811955700126411e-05
96,0.82565957213049723,3.4376049073748704e-05
97,0.83453171788689851,3.0619556219513285e-05
98,0.84347886593218779,2.5195324363669931e-05
99,0.8523885128330333,2.0729537554946842e-05
100,0.85234163640247829,2.1875667592441414e-05
