Wiper,Voltage (V),std (V)
0,-0.019213086336863305,1.2500381481368727e-05
1,-0.0090002746665852843,3.125095370342043e-05
2,-0.00031875972777489547,2.7243949816496158e-05
3,0.0070127140110477024,4.463528983933753e-05
4,0.01326915494247261,4.677214470725437e-05
5,0.018878701132236702,2.9482090759685588e-05
6,0.023913229773857847,3.0619556219488707e-05
7,0.02844461806085391,3.3658307214610666e-05
8,0.03270412305063021,4.2505892516691413e-05
9,0.036632367931150232,3.0619556219488497e-05
10,0.040332480849635297,3.7501144444106069e-05
11,0.043863838618121889,3.4799589266871833e-05
12,0.047204565569017615,2.5195324363713398e-05
13,0.050407788323618273,3.4233704573828116e-05
14,0.053486007263405265,2.5195324363712967e-05
15,0.056448597674489578,3.9653014927885027e-05
16,0.059323685415204316,2.8125858333079833e-05
17,0.062167522202215643,5.5990686410051768e-05
18,0.064883230079042925,3.9032428665182609e-05
19,0.067580187383648183,3.7631131469722905e-05
20,0.070205267494735546,3.7631131469722329e-05
21,0.072802221747489862,2.5000762962737457e-05
22,0.075380425428022091,3.8146650442555885e-05
23,0.07790862758262887,3.1250953703423899e-05
24,0.080430579546494949,4.8514526471659525e-05
25,0.08297440717795343,4.0626239814445348e-05
26,0.08547448347422712,5.1255375023840673e-05
27,0.087999560533463556,5.8381599453365319e-05
28,0.090502761925107575,3.1250953703423899e-05
29,0.093037214270455026,3.814665044255577e-05
30,0.095527915280617687,4.8008626031177715e-05
31,0.098065492721335495,3.4233704573830014e-05
32,0.10064369640186774,2.8811955700148986e-05
33,0.10318127384258553,4.2043858223827058e-05
34,0.10577822809533984,2.3386072353626629e-05
35,0.10838143253883478,4.2962958265639812e-05
36,0.11099401226844081,5.4218378278896639e-05
37,0.1137097201452681,3.1869844550428963e-05
38,0.11640980254524366,3.6976627081477415e-05
39,0.11917238685262613,2.8641972177095024e-05
40,0.12194434644611958,2.5958991777179796e-05
41,0.12484130985442672,4.1459075110005405e-05
42,0.12770702230903042,4.2505892516692694e-05
43,0.13063211157567065,3.8146650442556685e-05
44,0.13363220313119906,3.5494260360117346e-05
45,0.13675729850154117,2.9482090759684524e-05
46,0.13985426801355022,4.3751335184788862e-05
47,0.14305749076815091,4.6457882617429344e-05
48,0.14637321695608388,3.061955621949345e-05
49,0.1496951933347575,5.6684095946384628e-05
50,0.15316092410046694,3.9529677102119226e-05
51,0.15677040925321212,2.096377705277198e-05
52,0.16043302102725304,3.4376049073765611e-05
53,0.16418626056703395,3.3658307214613309e-05
54,0.16798950163274023,2.5195324363711243e-05
55,0.1719052461317789,3.0619556219484391e-05
56,0.17602412182988983,4.2390856060794876e-05
57,0.18025862605670342,2.5958991777176787e-05
58,0.18464938505203404,3.4799589266873202e-05
59,0.18907452009643849,2.7243949816494386e-05
60,0.19368403576769314,4.4305873604078756e-05
61,0.19852793359172338,2.8125858333077285e-05
62,0.2034905850398267,2.519532436371641e-05
63,0.20864074221015044,4.2043858223833041e-05
64,0.21386902676473282,3.186984455042134e-05
65,0.21951607409894103,6.0999428104632564e-05
66,0.22509749443037202,3.2626953535947022e-05
67,0.2309414227729118,4.0626239814450586e-05
68,0.2371447370830409,3.479958926687619e-05
69,0.24363868526261184,4.5929334329235927e-05
70,0.25052639545884581,4.002074782025561e-05
71,0.25747035737174601,4.3751335184790048e-05
72,0.2648549577318644,3.2626953535949414e-05
73,0.27256769310586865,4.9313173162552555e-05
74,0.28070544145023957,3.7108451482067333e-05
75,0.28937133091219824,3.4799589266868214e-05
76,0.29825285195471052,3.0619556219475893e-05
77,0.30765313882869966,4.881555020677478e-05
78,0.31752844019898074,2.8641972177098053e-05
79,0.32806001159703352,3.1869844550409908e-05
80,0.3390978484450819,2.7243949816505849e-05
81,0.35089508346812348,3.1406819776084042e-05
82,0.36314858241523484,3.186984455041535e-05
83,0.37609897762993255,3.644456154253495e-05
84,0.39005252845851018,2.8125858333089004e-05
85,0.40519674062318795,3.2626953535949414e-05
86,0.42117535325174726,3.6444561542529238e-05
87,0.43835712759788803,4.4195522564471857e-05
88,0.45683581652272104,2.8125858333076048e-05
89,0.47683642689291056,3.1406819776086793e-05
90,0.49854958952604755,2.948209075969541e-05
91,0.52185967589342941,1.9764838551064001e-05
92,0.5473104525894954,3.1869844550393577e-05
93,0.57548006225775927,2.7243949816485469e-05
94,0.60630600299081394,3.0619556219477025e-05
95,0.64052579729605996,1.8750572222070439e-05
96,0.67857695852534561,1.8750572222070436e-05
97,0.72090012512588886,1.6829153607266969e-05
98,0.76882658772545542,5.4218378278925512e-05
99,0.82290011291848519,1.1102230246251565e-16
100,0.82290011291848519,1.3975851368539477e-05
