Time,Temperature (C),Humidity (%)
10:04:04,20.0,48.0
10:04:08,19.0,48.0
10:04:10,20.0,48.0
10:04:14,20.0,48.0
10:04:15,20.0,48.0
10:04:17,20.0,48.0
10:04:21,20.0,47.0
10:04:22,20.0,48.0
10:04:24,20.0,48.0
10:04:25,19.0,47.0
10:04:29,19.0,48.0
10:04:31,20.0,48.0
10:04:35,19.0,48.0
10:04:36,19.0,48.0
10:04:38,19.0,48.0
10:04:40,19.0,48.0
10:04:44,19.0,48.0
10:04:45,19.0,48.0
10:04:47,19.0,48.0
10:04:48,20.0,48.0
10:04:52,18.0,47.0
10:04:56,19.0,48.0
10:04:58,19.0,48.0
10:04:59,19.0,48.0
10:05:06,19.0,48.0
10:05:07,19.0,48.0
10:05:09,19.0,48.0
10:05:13,19.0,48.0
10:05:17,19.0,48.0
10:05:19,19.0,48.0
10:05:23,19.0,48.0
10:05:24,19.0,48.0
10:05:26,19.0,48.0
10:05:27,19.0,48.0
10:05:29,19.0,48.0
10:05:30,19.0,48.0
10:05:42,19.0,48.0
10:05:43,19.0,48.0
10:05:45,19.0,48.0
10:05:49,19.0,48.0
10:05:56,19.0,48.0
10:05:57,19.0,48.0
10:05:59,19.0,48.0
10:06:00,19.0,48.0
10:06:09,19.0,48.0
10:06:11,19.0,48.0
10:06:12,19.0,48.0
10:06:14,19.0,48.0
10:06:15,19.0,48.0
10:06:17,19.0,48.0
10:06:18,19.0,48.0
10:06:20,19.0,48.0
10:06:22,19.0,48.0
10:06:23,19.0,48.0
10:06:25,19.0,48.0
10:06:26,19.0,48.0
10:06:28,19.0,48.0
10:06:29,19.0,48.0
10:06:31,19.0,48.0
10:06:42,19.0,48.0
10:06:44,19.0,48.0
10:06:45,19.0,48.0
10:06:47,19.0,48.0
Time,Temperature (C),Humidity (%)
10:06:52,19.0,47.0
10:06:55,19.0,47.0
10:06:57,19.0,47.0
10:07:00,19.0,47.0
10:07:02,19.0,47.0
10:07:05,19.0,47.0
10:07:07,19.0,47.0
10:07:08,19.0,48.0
10:07:10,19.0,48.0
10:07:11,19.0,48.0
10:07:13,19.0,48.0
10:07:14,19.0,48.0
10:07:18,19.0,47.0
10:07:23,19.0,47.0
10:07:25,19.0,47.0
10:07:26,19.0,48.0
10:07:28,19.0,48.0
10:07:31,19.0,47.0
10:07:32,19.0,47.0
10:07:34,19.0,48.0
10:07:35,19.0,48.0
10:07:37,19.0,48.0
10:07:39,19.0,47.0
10:07:41,19.0,48.0
10:07:43,19.0,47.0
10:07:45,19.0,48.0
10:07:46,19.0,48.0
10:07:48,19.0,48.0
10:07:51,19.0,47.0
10:07:53,19.0,47.0
10:07:55,19.0,47.0
10:07:56,19.0,48.0
10:07:58,19.0,48.0
10:07:59,19.0,48.0
10:08:01,19.0,48.0
10:08:03,19.0,48.0
10:08:06,19.0,48.0
10:08:08,19.0,48.0
10:08:10,19.0,48.0
10:08:13,19.0,47.0
10:08:15,19.0,47.0
10:08:17,19.0,48.0
10:08:18,19.0,47.0
10:08:20,19.0,48.0
10:08:23,19.0,47.0
10:08:24,19.0,47.0
10:08:26,19.0,48.0
10:08:27,19.0,48.0
10:08:29,19.0,48.0
10:08:30,19.0,48.0
10:08:32,19.0,48.0
10:08:33,19.0,48.0
10:08:36,19.0,47.0
10:08:37,19.0,47.0
10:08:40,19.0,47.0
10:08:41,19.0,47.0
10:08:43,19.0,48.0
10:08:44,19.0,48.0
10:08:47,19.0,48.0
10:08:48,19.0,47.0
10:08:50,19.0,48.0
10:08:51,19.0,48.0
10:08:53,19.0,48.0
10:08:54,19.0,48.0
10:08:56,19.0,48.0
10:08:57,19.0,48.0
10:09:00,20.0,48.0
10:09:01,20.0,47.0
10:09:04,21.0,47.0
10:09:06,21.0,48.0
10:09:07,22.0,49.0
10:09:10,22.0,49.0
10:09:12,22.0,48.0
10:09:13,22.0,49.0
10:09:15,22.0,49.0
10:09:17,22.0,50.0
10:09:18,22.0,49.0
10:09:20,22.0,50.0
10:09:23,22.0,49.0
10:09:25,22.0,49.0
10:09:26,22.0,49.0
10:09:28,22.0,49.0
10:09:30,22.0,49.0
10:09:32,22.0,49.0
10:09:33,21.0,49.0
10:09:35,21.0,49.0
10:09:36,21.0,49.0
10:09:38,21.0,49.0
10:09:39,21.0,49.0
10:09:42,21.0,48.0
10:09:43,21.0,48.0
10:09:45,21.0,49.0
10:09:46,21.0,49.0
10:09:48,21.0,49.0
10:09:49,21.0,49.0
10:09:51,21.0,49.0
10:09:53,21.0,48.0
10:09:54,21.0,49.0
10:09:56,21.0,49.0
10:09:58,21.0,49.0
10:10:01,21.0,48.0
10:10:02,21.0,48.0
10:10:04,21.0,48.0
10:10:06,21.0,48.0
10:10:08,21.0,48.0
